FirstName,LastName,BirthYear,Contribution
Alan,Turing,1912,"Turing machine and foundations of theoretical computer science"
John,von Neumann,1903,"von Neumann architecture for stored-program computers"
Ada,Lovelace,1815,"Wrote the first published algorithm intended for a machine"
Grace,Hopper,1906,"Developed the first compiler and helped create COBOL"
Dennis,Ritchie,1941,"Created the C programming language"
Ken,Thompson,1943,"Co-created the Unix operating system"
Donald,Knuth,1938,"Author of The Art of Computer Programming and algorithm analysis"
Tim,Berners-Lee,1955,"Invented the World Wide Web"
Linus,Torvalds,1969,"Created the Linux kernel"
Bjarne,Stroustrup,1950,"Created the C++ programming language"
Guido,van Rossum,1956,"Created the Python programming language"
John,McCarthy,1927,"Invented the LISP language and coined the term Artificial Intelligence"
Edsger,Dijkstra,1930,"Developed Dijkstra's shortest path algorithm"
Claude,Shannon,1916,"Founded information theory"
Barbara,Liskov,1939,"Developed the Liskov substitution principle and abstract data types"
Vint,Cerf,1943,"Co-designed the TCP/IP protocols"
Marvin,Minsky,1927,"Pioneered artificial intelligence research"
John,Backus,1924,"Led development of FORTRAN, the first widely used high-level language"
Niklaus,Wirth,1934,"Created the Pascal programming language"
Frances,Allen,1932,"Pioneered compiler optimization techniques"
